   frec_abs porcentaje
0       253 72.2857143
3         6  1.7142857
4         9  2.5714286
5        12  3.4285714
6         6  1.7142857
7         5  1.4285714
8         6  1.7142857
9         4  1.1428571
10       14  4.0000000
11        2  0.5714286
12        4  1.1428571
13        2  0.5714286
14        2  0.5714286
15        6  1.7142857
18        1  0.2857143
19        1  0.2857143
20        3  0.8571429
21        2  0.5714286
22        3  0.8571429
23        1  0.2857143
25        4  1.1428571
28        2  0.5714286
35        1  0.2857143
50        1  0.2857143
